DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
816,Garnet,#89132C,137,19,44,0,86.1,67.9,46.3
817,Coral Red very dark,#A60D1B,166,13,27,0,92.2,83.7,34.9
818,Baby Pink,#FFD0D2,255,208,210,0,18.4,17.6,0
819,Baby Pink light,#FFDEDA,255,222,218,0,12.9,14.5,0
820,Royal Blue very dark,#202063,32,32,99,67.7,67.7,0,61.2
822,Beige Grey light,#E0D6BA,224,214,186,0,4.5,17,12.2
823,Navy Blue dark,#20233A,32,35,58,44.8,39.7,0,77.3
824,Blue very dark,#1B3E71,27,62,113,76.1,45.1,0,55.7
825,Blue dark,#1B4F86,27,79,134,79.9,41,0,47.5
826,Blue medium,#306BA1,48,107,161,70.2,33.5,0,36.9
827,Blue very light,#87B4D0,135,180,208,35.1,13.5,0,18.4
828,Blue ultra very light,#A6C9D4,166,201,212,21.7,5.2,0,16.9
829,Golden Olive very dark,#5F4220,95,66,32,0,30.5,66.3,62.7
830,Golden Olive dark,#694B23,105,75,35,0,28.6,66.7,58.8
831,Golden Olive medium,#785C25,120,92,37,0,23.3,69.2,52.9
832,Golden Olive,#9A762C,154,118,44,0,23.4,71.4,39.6
833,Golden Olive light,#B08D3E,176,141,62,0,19.9,64.8,31
834,Golden Olive very light,#C7A550,199,165,80,0,17.1,59.8,22
838,Beige Brown very dark,#453029,69,48,41,0,30.4,40.6,72.9
839,Beige Brown dark,#553D34,85,61,52,0,28.2,38.8,66.7
840,Beige Brown medium,#7F5C4A,127,92,74,0,27.6,41.7,50.2
841,Beige Brown light,#9B7863,155,120,99,0,22.6,36.1,39.2
842,Beige Brown very light,#BF9F87,191,159,135,0,16.8,29.3,25.1
844,Beaver Grey ultra dark,#3D3D36,61,61,54,0,0,11.5,76.1
869,Hazelnut Brown very dark,#704725,112,71,37,0,36.6,67,56.1
890,Pistachio Green ultra dark,#1B3623,27,54,35,50,0,35.2,78.8
891,Carnation dark,#EF2C46,239,44,70,0,81.6,70.7,6.3
892,Carnation medium,#F43853,244,56,83,0,77,66,4.3
893,Carnation light,#FB4D6D,251,77,109,0,69.3,56.6,1.6
894,Carnation very light,#FF7C9A,255,124,154,0,51.4,39.6,0
895,Hunter Green very dark,#253D25,37,61,37,39.3,0,39.3,76.1
898,Coffee Brown very dark,#4A2E23,74,46,35,0,37.8,52.7,71
899,Rose medium,#EB6682,235,102,130,0,56.6,44.7,7.8
900,Burnt Orange dark,#C63423,198,52,35,0,73.7,82.3,22.4
902,Garnet very dark,#5B202E,91,32,46,0,64.8,49.5,64.3
904,Parrot Green very dark,#345F25,52,95,37,45.3,0,61.1,62.7
905,Parrot Green dark,#3D7123,61,113,35,46,0,69,55.7
906,Parrot Green medium,#5A8B23,90,139,35,35.3,0,74.8,45.5
907,Parrot Green light,#87A623,135,166,35,18.7,0,78.9,34.9
909,Emerald Green very dark,#006540,0,101,64,100,0,36.6,60.4
